Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Mattias;74.17;24.542;24.925;24.703;False
2;Mattias;71.93;24.898;23.121;23.911;False
3;Mattias;70.526;23.168;23.9;23.458;False
4;Mattias;142.589;45.921;46.327;50.341;True
5;Mattias;75.154;24.583;24.451;26.12;False
6;Mattias;75.465;25.913;25.327;24.225;False
7;Mattias;73.07499999999999;24.926;23.298;24.851;False
8;Mattias;180.587;63.748;72.566;44.273;True
9;Mattias;77.612;23.996;26.942;26.674;False
10;Mattias;75.521;26.259;23.562;25.7;False
1;Mario;75.855;25.933;25.948;23.974;False
2;Mario;75.92099999999999;26.238;24.136;25.547;False
3;Mario;75.158;24.279;26.328;24.551;False
4;Mario;78.399;24.804;26.932;26.663;False
5;Mario;72.813;23.471;25.256;24.086;False
6;Mario;75.712;23.156;26.327;26.229;False
7;Mario;76.045;26.673000000000002;25.222;24.15;False
8;Mario;71.56099999999999;24.912;23.019;23.63;False
9;Mario;76.42399999999999;23.926;26.319;26.179;False
10;Mario;73.66;23.4;25.509;24.751;False
1;Kaur;75.081;23.948;25.458;25.675;False
2;Kaur;76.608;25.515;25.171;25.922;False
3;Kaur;76.464;25.95;26.427;24.087;False
4;Kaur;74.28;24.896;24.082;25.302;False
5;Kaur;76.467;25.567;25.726;25.174;False
6;Kaur;152.517;66.113;54.183;32.221;True
7;Kaur;72.305;23.057;23.074;26.174;False
8;Kaur;209.152;66.365;76.001;66.786;True
9;Kaur;182.30700000000002;84.94;42.95;54.417;True
10;Kaur;78.016;26.522;25.624;25.87;False
1;Romet;77.674;25.156;26.975;25.543;False
2;Romet;74.469;26.763;23.868;23.838;False
3;Romet;75.57900000000001;25.637;25.301;24.641;False
4;Romet;76.995;25.404;26.522;25.069;False
5;Romet;126.887;45.687;49.944;31.256;True
6;Romet;75.764;26.117;26.56;23.087;False
7;Romet;75.355;24.803;25.07;25.482;False
8;Romet;74.56700000000001;23.682;26.236;24.649;False
9;Romet;72.6;23.939;24.59;24.071;False
10;Romet;76.819;26.076;23.939;26.804;False
1;Viru;74.233;23.823;23.706;26.704;False
2;Viru;75.966;23.662;26.671;25.633;False
3;Viru;75.575;26.26;24.745;24.57;False
4;Viru;74.414;24.493;24.557;25.364;False
5;Viru;74.529;24.989;25.813;23.727;False
6;Viru;75.987;23.634;26.204;26.149;False
7;Viru;210.408;85.719;80.89;43.799;True
8;Viru;72.642;24.342;23.313;24.987;False
9;Viru;73.04599999999999;23.443;23.381;26.222;False
10;Viru;74.38799999999999;25.358;24.909;24.121;False
